Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-02-25 00:00:56,148.13,8.75,745.08,0.0,0.0
2021-02-25 01:00:56,148.31,6.5,766.5,0.0,0.0
2021-02-25 02:00:56,148.2,6.16,685.49,0.0,0.0
2021-02-25 03:00:56,148.0,5.85,642.13,0.0,0.0
2021-02-25 04:00:56,140.67,8.15,629.87,0.0,0.0
2021-02-25 05:00:56,125.5,8.75,623.93,0.0,0.0
2021-02-25 06:00:56,130.16,7.17,607.92,0.0,0.0
2021-02-25 07:00:56,132.1,6.2,592.31,0.0,0.0
2021-02-25 08:00:56,132.1,4.45,679.39,0.0,0.0
2021-02-25 09:00:56,132.1,8.37,857.23,0.0,0.0
2021-02-25 10:00:56,132.1,6.54,936.25,0.0,0.0
2021-02-25 11:00:56,132.1,8.33,870.15,0.0,0.0
2021-02-25 12:00:56,131.99,7.84,876.64,0.0,0.0
2021-02-25 13:00:56,138.53,10.96,952.87,0.0,0.0
2021-02-25 14:00:56,125.61,11.43,953.78,0.0,0.0
2021-02-25 15:00:56,142.94,10.49,959.76,0.0,0.0
2021-02-25 16:00:56,153.66,9.9,942.0,0.0,0.0
2021-02-25 17:00:56,148.6,7.2,963.38,0.0,0.0
2021-02-25 18:00:56,127.56,9.29,979.19,0.0,0.0
2021-02-25 19:00:56,111.38,10.8,1221.71,0.0,0.0
2021-02-25 20:00:56,130.74,12.7,1347.19,0.0,0.0
2021-02-25 21:00:56,132.77,13.75,1297.52,0.0,0.0
2021-02-25 22:00:56,122.46,11.23,1213.23,0.0,0.0
2021-02-25 23:00:56,106.25,10.48,977.75,0.0,0.0
2021-02-26 00:00:56,116.81,8.76,872.52,0.0,0.0
2021-02-26 01:00:56,129.35,8.74,824.29,0.0,0.0
2021-02-26 02:00:56,110.16,6.92,777.7,0.0,0.0
2021-02-26 03:00:56,116.94,6.85,697.16,0.0,0.0
2021-02-26 04:00:56,121.76,6.29,714.73,0.0,0.0
2021-02-26 05:00:56,106.03,7.64,734.72,0.0,0.0
2021-02-26 06:00:56,131.35,8.02,707.35,0.0,0.0
2021-02-26 07:00:56,128.5,8.51,714.15,0.0,0.0
