Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-04-02 19:00:56,74.86,0.0,3.42,59.87,64.78,36.35
2018-04-02 20:00:56,73.98,0.0,3.71,51.63,56.0,26.35
2018-04-02 21:00:56,151.96,0.0,5.43,52.46,58.94,27.03
2018-04-02 22:00:56,173.76,0.0,5.11,42.82,47.61,32.34
2018-04-02 23:00:56,94.05,0.0,7.19,39.33,44.12,20.49
2018-04-03 00:00:56,146.37,0.0,6.69,40.0,45.02,11.7
2018-04-03 01:00:56,155.46,0.0,6.21,34.62,39.41,13.3
2018-04-03 02:00:56,142.38,0.0,6.76,40.37,47.61,9.32
2018-04-03 03:00:56,150.84,0.0,6.45,33.34,38.2,13.66
2018-04-03 04:00:56,120.97,0.0,6.4,27.49,31.26,21.78
2018-04-03 05:00:56,95.22,0.0,6.32,21.02,23.86,42.82
2018-04-03 06:00:56,52.67,0.0,5.81,26.56,30.22,25.28
2018-04-03 07:00:56,69.95,0.0,5.6,34.23,39.55,18.62
2018-04-03 08:00:56,95.69,0.0,6.45,47.43,59.84,13.81
2018-04-03 09:00:56,161.12,0.0,5.89,51.98,61.39,41.79
2018-04-03 10:00:56,64.0,0.0,4.92,48.01,55.25,57.07
2018-04-03 11:00:56,40.99,0.0,4.81,41.4,46.52,62.7
2018-04-03 12:00:56,64.74,0.0,4.75,49.81,55.77,57.21
2018-04-03 13:00:56,33.46,0.0,4.66,46.32,51.07,60.08
2018-04-03 14:00:56,45.0,0.0,4.6,45.57,50.07,59.18
2018-04-03 15:00:56,45.31,0.0,5.19,48.05,52.83,56.58
2018-04-03 16:00:56,53.83,0.0,4.66,41.68,45.39,67.79
2018-04-03 17:00:56,72.6,0.0,3.38,42.96,46.52,66.07
2018-04-03 18:00:56,63.24,0.0,4.05,40.29,42.95,70.66
2018-04-03 19:00:56,67.97,0.0,5.15,45.4,47.61,64.19
2018-04-03 20:00:56,42.63,0.0,5.14,41.28,42.79,65.86
2018-04-03 21:00:56,33.39,0.0,5.26,43.61,44.65,66.87
2018-04-03 22:00:56,43.58,0.0,4.7,42.52,42.72,70.69
2018-04-03 23:00:56,57.25,0.0,5.16,38.43,37.47,73.06
2018-04-04 00:00:56,38.54,0.0,4.8,33.81,32.27,71.76
2018-04-04 01:00:56,26.41,0.0,4.68,34.56,32.96,75.22
2018-04-04 02:00:56,12.36,0.0,5.14,34.5,32.78,78.15
2018-04-04 03:00:56,20.84,0.0,4.94,37.09,35.45,75.83
2018-04-04 04:00:56,17.12,0.0,4.84,25.12,22.68,89.0
2018-04-04 05:00:56,19.72,0.0,4.85,32.49,30.48,86.24
2018-04-04 06:00:56,13.28,0.0,4.9,21.09,18.34,89.31
2018-04-04 07:00:56,20.12,0.0,4.29,21.33,18.88,76.94
2018-04-04 08:00:56,23.24,0.0,5.01,36.06,34.84,76.16
2018-04-04 09:00:56,29.0,0.0,4.87,38.31,37.35,75.36
2018-04-04 10:00:56,28.61,0.0,3.4,37.28,36.27,78.33
2018-04-04 11:00:56,19.94,0.0,3.52,27.61,26.06,89.02
2018-04-04 12:00:56,40.51,0.0,3.55,35.11,34.12,81.97
2018-04-04 13:00:56,29.16,0.0,2.67,33.82,32.89,85.15
2018-04-04 14:00:56,32.59,0.0,3.79,30.58,29.69,90.7
2018-04-04 15:00:56,23.15,0.0,4.15,35.6,35.14,85.67
2018-04-04 16:00:56,27.16,0.0,3.78,21.88,20.27,101.03
2018-04-04 17:00:56,31.59,0.0,3.7,27.64,26.65,95.96
2018-04-04 18:00:56,44.84,0.0,3.77,25.5,24.2,96.27
2018-04-04 19:00:56,43.1,0.0,4.8,35.95,35.64,56.6
2018-04-04 20:00:56,95.31,0.0,7.37,46.81,48.49,23.41
2018-04-04 21:00:56,125.97,0.0,12.1,45.03,47.04,38.72
2018-04-04 22:00:56,98.66,0.0,6.93,36.51,37.71,58.08
2018-04-04 23:00:56,42.89,0.0,6.82,34.81,35.6,56.65
2018-04-05 00:00:56,39.53,0.0,5.96,29.6,29.74,58.72
2018-04-05 01:00:56,28.12,0.0,5.67,24.94,24.69,27.13
2018-04-05 02:00:56,60.3,0.0,6.3,21.67,21.37,18.07
2018-04-05 03:00:56,67.74,0.0,5.94,22.74,22.59,14.85
2018-04-05 04:00:56,60.41,0.0,5.82,16.71,16.26,15.88
2018-04-05 05:00:56,44.78,0.0,6.02,13.4,12.51,27.65
2018-04-05 06:00:56,39.56,0.0,6.43,17.7,17.26,21.7
