Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2018-04-02 06:00:56,53.97,7.35,9.91,3.89,5.64
2018-04-02 07:00:56,45.55,12.77,9.73,11.18,11.64
2018-04-02 08:00:56,40.53,8.61,9.72,13.82,16.35
2018-04-02 09:00:56,44.79,6.67,4.95,14.89,18.41
2018-04-02 10:00:56,91.74,4.22,4.16,12.39,16.09
2018-04-02 11:00:56,61.66,4.14,5.84,11.48,13.2
2018-04-02 12:00:56,33.15,4.33,7.41,10.58,12.5
2018-04-02 13:00:56,20.31,3.53,16.22,5.59,8.22
2018-04-02 14:00:56,15.38,2.96,9.55,4.9,7.06
2018-04-02 15:00:56,30.43,1.55,6.71,5.77,7.88
2018-04-02 16:00:56,18.27,17.14,5.36,4.68,7.11
2018-04-02 17:00:56,12.07,0.0,7.82,5.2,5.78
2018-04-02 18:00:56,9.23,0.0,9.3,5.67,8.02
2018-04-02 19:00:56,13.41,0.0,10.04,9.12,11.51
2018-04-02 20:00:56,26.43,21.82,13.58,16.62,20.77
2018-04-02 21:00:56,27.29,11.22,9.42,12.51,15.83
2018-04-02 22:00:56,30.71,5.61,7.63,6.54,7.8
2018-04-02 23:00:56,25.76,7.48,6.21,7.67,9.52
2018-04-03 00:00:56,37.97,7.74,5.65,10.81,12.99
2018-04-03 01:00:56,36.22,18.84,1.52,19.0,28.15
2018-04-03 02:00:56,39.24,23.61,3.5,21.46,41.63
2018-04-03 03:00:56,41.55,29.49,2.85,21.1,38.3
2018-04-03 04:00:56,47.65,26.08,1.65,19.2,36.97
2018-04-03 05:00:56,54.57,30.76,3.33,17.75,31.65
2018-04-03 06:00:56,57.74,27.64,1.78,16.44,35.75
2018-04-03 07:00:56,52.23,23.02,3.49,15.77,39.19
2018-04-03 08:00:56,55.59,28.79,3.96,17.62,39.5
2018-04-03 09:00:56,59.67,41.53,8.91,17.57,31.55
2018-04-03 10:00:56,60.9,33.65,12.36,19.9,36.05
2018-04-03 11:00:56,71.24,25.26,16.11,17.64,26.78
2018-04-03 12:00:56,63.34,38.77,0.0,8.98,10.89
2018-04-03 13:00:56,41.93,35.77,11.99,0.0,0.0
2018-04-03 14:00:56,43.63,18.73,10.31,4.22,6.71
2018-04-03 15:00:56,23.44,17.8,10.31,4.44,6.57
2018-04-03 16:00:56,16.42,10.2,7.43,3.91,6.75
2018-04-03 17:00:56,21.95,14.69,3.34,4.67,7.09
2018-04-03 18:00:56,29.73,13.93,2.55,5.36,8.04
2018-04-03 19:00:56,34.63,9.52,3.36,10.07,12.41
2018-04-03 20:00:56,28.34,18.59,9.02,21.63,24.16
2018-04-03 21:00:56,37.38,23.36,12.45,27.92,36.41
2018-04-03 22:00:56,64.77,17.58,12.16,30.31,63.46
2018-04-03 23:00:56,88.3,10.34,14.91,28.41,70.02
2018-04-04 00:00:56,105.83,31.72,13.76,31.19,93.71
2018-04-04 01:00:56,121.39,45.21,14.86,28.43,80.34
2018-04-04 02:00:56,125.68,54.31,14.34,26.65,66.1
2018-04-04 03:00:56,113.06,50.21,12.99,23.32,46.55
2018-04-04 04:00:56,87.59,42.3,11.99,21.0,32.53
2018-04-04 05:00:56,79.02,48.99,11.27,19.31,23.9
2018-04-04 06:00:56,69.45,37.39,11.11,17.76,21.86
2018-04-04 07:00:56,54.72,0.0,11.06,18.07,26.07
2018-04-04 08:00:56,69.95,45.8,10.96,18.33,41.23
2018-04-04 09:00:56,78.28,42.18,13.39,21.19,51.38
2018-04-04 10:00:56,79.84,55.23,10.23,20.35,31.08
2018-04-04 11:00:56,69.86,41.95,7.73,20.11,28.5
2018-04-04 12:00:56,78.12,30.86,5.55,13.35,17.98
2018-04-04 13:00:56,54.0,19.12,4.68,10.03,13.03
2018-04-04 14:00:56,40.3,23.86,3.86,12.61,16.81
2018-04-04 15:00:56,42.62,14.53,3.78,11.46,14.73
2018-04-04 16:00:56,44.83,14.06,4.51,9.1,11.53
2018-04-04 17:00:56,30.04,9.86,10.79,10.24,12.0
2018-04-04 18:00:56,33.3,23.99,12.61,10.29,12.56
2018-04-04 19:00:56,29.7,13.07,13.52,14.92,17.76
2018-04-04 20:00:56,34.74,28.14,10.69,28.48,37.4
2018-04-04 21:00:56,70.15,29.3,13.37,33.63,57.08
2018-04-04 22:00:56,110.33,66.97,10.47,33.33,77.64
2018-04-04 23:00:56,145.41,36.74,9.59,34.09,106.75
2018-04-05 00:00:56,155.85,23.99,10.16,34.26,117.24
2018-04-05 01:00:56,173.32,33.25,4.92,32.24,110.31
2018-04-05 02:00:56,164.84,63.16,4.67,28.73,94.69
2018-04-05 03:00:56,152.75,61.74,2.19,27.47,78.5
2018-04-05 04:00:56,140.64,82.5,0.52,24.69,55.98
2018-04-05 05:00:56,116.49,55.04,0.07,22.62,44.91
2018-04-05 06:00:56,89.7,54.49,2.38,20.82,42.13
2018-04-05 07:00:56,80.35,47.45,1.05,18.08,37.91
2018-04-05 08:00:56,83.6,44.18,2.84,18.29,50.67
2018-04-05 09:00:56,100.89,43.43,7.54,24.42,71.17
2018-04-05 10:00:56,113.77,60.7,9.21,26.73,60.89
2018-04-05 11:00:56,104.89,49.44,8.97,28.89,47.91
2018-04-05 12:00:56,92.37,36.19,8.65,27.82,38.68
2018-04-05 13:00:56,85.9,49.44,13.83,16.76,22.09
2018-04-05 14:00:56,58.61,27.77,17.29,12.9,15.9
2018-04-05 15:00:56,66.75,28.44,13.25,9.82,12.41
2018-04-05 16:00:56,42.46,17.14,13.34,6.76,9.76
2018-04-05 17:00:56,44.38,10.08,3.09,7.26,9.1
2018-04-05 18:00:56,46.95,14.2,2.41,8.94,10.69
2018-04-05 19:00:56,44.6,20.55,1.92,14.45,17.35
2018-04-05 20:00:56,53.27,23.41,7.39,28.02,53.07
2018-04-05 21:00:56,108.32,37.38,15.29,29.67,101.33
2018-04-05 22:00:56,173.81,50.25,14.39,32.37,119.85
2018-04-05 23:00:56,237.79,65.11,12.52,31.69,125.94
2018-04-06 00:00:56,171.64,67.3,12.34,32.2,128.5
2018-04-06 01:00:56,190.11,65.43,15.85,33.02,132.25
2018-04-06 02:00:56,181.86,65.77,14.95,30.43,121.82
2018-04-06 03:00:56,159.84,72.15,13.45,27.6,77.48
2018-04-06 04:00:56,133.89,65.34,12.06,23.31,46.08
2018-04-06 05:00:56,108.95,39.36,11.36,21.0,32.0
2018-04-06 06:00:56,87.19,44.9,10.76,19.24,26.46
2018-04-06 07:00:56,71.34,35.01,10.37,17.89,30.5
2018-04-06 08:00:56,87.13,34.6,11.75,18.47,44.34
2018-04-06 09:00:56,95.16,44.87,11.31,23.02,54.74
2018-04-06 10:00:56,110.87,48.04,7.58,26.58,57.34
2018-04-06 11:00:56,114.34,49.93,5.1,18.78,27.56
2018-04-06 12:00:56,98.5,26.87,2.19,9.32,10.96
2018-04-06 13:00:56,70.15,16.11,0.75,11.58,14.22
2018-04-06 14:00:56,70.34,9.3,0.0,5.69,7.69
2018-04-06 15:00:56,57.96,15.96,0.0,5.12,7.11
2018-04-06 16:00:56,32.79,9.91,0.17,5.79,8.32
2018-04-06 17:00:56,33.24,5.89,6.17,4.95,7.42
2018-04-06 18:00:56,25.83,12.9,9.59,7.73,10.62
2018-04-06 19:00:56,29.43,16.06,10.91,12.59,14.9
2018-04-06 20:00:56,30.53,9.08,7.4,24.27,32.54
2018-04-06 21:00:56,39.5,17.05,8.64,30.72,77.27
2018-04-06 22:00:56,77.81,38.9,8.93,31.49,72.45
2018-04-06 23:00:56,96.13,28.74,6.45,27.53,40.78
2018-04-07 00:00:56,70.4,23.84,6.13,24.92,34.4
2018-04-07 01:00:56,65.78,12.12,2.54,23.54,43.82
2018-04-07 02:00:56,67.59,6.06,0.84,21.03,40.06
2018-04-07 03:00:56,57.17,11.93,0.51,21.94,31.7
2018-04-07 04:00:56,55.01,26.05,0.15,20.49,32.5
2018-04-07 05:00:56,56.77,22.41,0.04,18.91,31.15
2018-04-07 06:00:56,54.44,12.38,0.0,18.56,33.74
2018-04-07 07:00:56,62.98,29.6,0.0,17.88,41.24
2018-04-07 08:00:56,75.24,37.93,3.74,19.7,47.08
2018-04-07 09:00:56,70.74,20.88,7.78,21.99,43.73
2018-04-07 10:00:56,82.25,26.92,7.19,26.55,55.39
2018-04-07 11:00:56,89.06,41.22,4.65,18.43,32.13
2018-04-07 12:00:56,84.81,27.83,4.31,10.99,13.92
2018-04-07 13:00:56,58.33,17.57,4.97,7.53,10.36
2018-04-07 14:00:56,57.45,19.05,4.68,5.96,8.92
2018-04-07 15:00:56,37.39,12.16,5.52,5.02,8.14
2018-04-07 16:00:56,26.68,12.51,4.93,4.49,8.22
2018-04-07 17:00:56,43.7,8.08,0.0,5.88,7.69
2018-04-07 18:00:56,45.42,11.25,0.0,6.21,7.51
2018-04-07 19:00:56,36.3,7.26,0.0,13.28,15.86
2018-04-07 20:00:56,35.64,14.54,3.7,23.79,27.05
2018-04-07 21:00:56,43.34,16.32,7.04,29.67,40.47
2018-04-07 22:00:56,55.14,22.41,7.5,28.49,40.36
2018-04-07 23:00:56,79.04,28.57,6.41,27.39,39.65
2018-04-08 00:00:56,66.32,32.17,7.27,27.61,55.18
2018-04-08 01:00:56,78.95,18.26,11.02,26.2,57.7
2018-04-08 02:00:56,74.43,11.59,11.73,24.03,54.97
2018-04-08 03:00:56,71.03,13.14,11.41,23.14,55.36
2018-04-08 04:00:56,59.25,7.85,10.84,20.27,37.41
2018-04-08 05:00:56,61.05,24.53,10.9,21.39,51.99
2018-04-08 06:00:56,73.8,22.35,10.47,20.44,42.18
2018-04-08 07:00:56,73.92,24.16,9.38,13.0,16.39
2018-04-08 08:00:56,50.62,27.19,9.33,18.75,25.78
2018-04-08 09:00:56,38.15,21.49,5.12,15.74,28.15
2018-04-08 10:00:56,53.33,32.99,2.37,6.88,7.91
2018-04-08 11:00:56,55.33,19.6,0.8,4.6,5.79
2018-04-08 12:00:56,41.28,12.01,0.09,4.9,7.15
2018-04-08 13:00:56,44.83,6.89,0.01,5.51,6.75
2018-04-08 14:00:56,29.3,9.1,0.36,7.0,8.8
2018-04-08 15:00:56,43.87,9.36,0.06,5.36,7.06
2018-04-08 16:00:56,60.43,5.52,1.46,5.84,8.75
2018-04-08 17:00:56,67.13,6.81,7.15,7.14,10.33
2018-04-08 18:00:56,64.76,24.46,8.44,7.97,10.02
2018-04-08 19:00:56,51.6,17.53,9.02,8.12,9.39
2018-04-08 20:00:56,53.07,25.52,6.93,9.15,10.34
2018-04-08 21:00:56,55.25,13.11,6.73,5.41,8.49
2018-04-08 22:00:56,46.68,6.57,7.35,4.52,6.71
2018-04-08 23:00:56,36.19,3.29,7.44,4.33,5.67
2018-04-09 00:00:56,28.45,2.88,6.36,11.29,11.84
2018-04-09 01:00:56,28.47,2.43,0.88,21.0,23.67
2018-04-09 02:00:56,38.94,12.28,0.0,20.0,22.29
2018-04-09 03:00:56,34.97,14.62,0.07,20.06,21.98
2018-04-09 04:00:56,31.03,9.35,0.0,19.1,21.73
2018-04-09 05:00:56,33.59,16.58,0.24,17.33,20.27
2018-04-09 06:00:56,37.03,26.52,1.96,17.85,29.84
2018-04-09 07:00:56,42.27,15.45,0.95,18.4,34.69
2018-04-09 08:00:56,57.65,14.12,0.88,19.87,35.64
2018-04-09 09:00:56,70.52,30.81,6.04,22.81,42.31
2018-04-09 10:00:56,80.62,32.69,8.25,23.77,42.09
2018-04-09 11:00:56,79.96,32.93,8.37,22.78,36.59
2018-04-09 12:00:56,67.53,33.06,7.96,8.53,11.99
2018-04-09 13:00:56,55.43,30.64,7.08,6.74,7.78
2018-04-09 14:00:56,53.22,19.71,6.29,5.92,8.02
2018-04-09 15:00:56,58.6,15.11,7.84,6.9,8.06
2018-04-09 16:00:56,48.1,10.47,7.58,5.09,5.72
2018-04-09 17:00:56,40.95,11.6,1.07,6.72,8.36
2018-04-09 18:00:56,54.03,15.41,0.0,6.79,8.72
2018-04-09 19:00:56,57.42,14.7,0.18,12.3,14.46
2018-04-09 20:00:56,64.39,8.3,2.69,13.43,17.57
2018-04-09 21:00:56,55.19,5.83,5.17,18.62,23.03
2018-04-09 22:00:56,43.61,8.39,5.6,21.06,25.18
2018-04-09 23:00:56,46.77,7.16,5.48,19.98,26.04
2018-04-10 00:00:56,45.99,11.7,5.78,21.08,27.82
2018-04-10 01:00:56,41.32,6.02,9.35,20.96,25.51
2018-04-10 02:00:56,46.72,10.37,10.64,17.89,24.57
2018-04-10 03:00:56,46.13,7.58,10.48,8.97,11.39
2018-04-10 04:00:56,35.57,6.39,10.35,8.84,10.4
2018-04-10 05:00:56,25.75,3.25,10.49,15.04,17.59
2018-04-10 06:00:56,25.7,16.0,10.59,16.27,23.56
2018-04-10 07:00:56,44.87,19.58,10.97,14.73,21.0
2018-04-10 08:00:56,46.97,21.96,10.98,15.01,29.37
2018-04-10 09:00:56,68.69,28.32,6.75,14.62,26.56
2018-04-10 10:00:56,85.1,43.02,9.04,18.02,33.51
2018-04-10 11:00:56,92.45,28.85,9.5,20.91,40.06
2018-04-10 12:00:56,75.94,33.64,8.16,22.62,39.38
2018-04-10 13:00:56,87.04,29.0,6.91,21.58,31.81
2018-04-10 14:00:56,81.71,27.74,4.24,18.93,24.39
2018-04-10 15:00:56,50.59,35.17,1.92,4.92,7.23
2018-04-10 16:00:56,35.96,30.82,3.24,5.25,7.65
2018-04-10 17:00:56,22.61,0.0,11.15,6.65,9.2
2018-04-10 18:00:56,29.62,15.19,13.13,7.47,10.48
2018-04-10 19:00:56,33.69,17.51,13.95,11.57,13.65
2018-04-10 20:00:56,43.68,18.9,9.37,20.74,23.03
2018-04-10 21:00:56,51.77,9.66,7.52,26.48,31.83
2018-04-10 22:00:56,46.9,9.5,7.35,27.56,40.37
2018-04-10 23:00:56,72.92,17.34,8.08,28.18,46.05
2018-04-11 00:00:56,73.21,24.37,6.52,26.39,48.64
2018-04-11 01:00:56,93.66,32.35,1.41,23.83,57.34
2018-04-11 02:00:56,103.49,34.77,0.08,23.37,55.4
2018-04-11 03:00:56,100.57,46.45,0.07,21.52,46.94
2018-04-11 04:00:56,82.6,31.85,0.0,18.64,35.57
2018-04-11 05:00:56,79.19,28.38,0.15,17.62,27.21
2018-04-11 06:00:56,51.76,29.04,0.81,16.59,26.88
2018-04-11 07:00:56,59.53,39.67,0.0,15.2,34.44
2018-04-11 08:00:56,66.5,29.11,2.47,16.2,35.84
2018-04-11 09:00:56,68.25,34.02,6.36,19.68,38.5
2018-04-11 10:00:56,66.02,43.26,8.08,21.09,41.41
2018-04-11 11:00:56,72.89,25.53,6.76,22.35,35.74
2018-04-11 12:00:56,73.3,38.95,5.88,15.9,21.7
2018-04-11 13:00:56,68.61,21.08,7.15,18.17,22.73
2018-04-11 14:00:56,65.71,32.04,7.43,14.52,17.25
2018-04-11 15:00:56,44.02,19.89,7.97,11.82,14.26
2018-04-11 16:00:56,34.76,12.9,6.39,10.3,12.32
2018-04-11 17:00:56,46.41,16.66,1.32,10.21,12.68
2018-04-11 18:00:56,59.11,14.63,7.35,12.61,15.88
2018-04-11 19:00:56,44.22,26.39,8.41,15.78,18.1
2018-04-11 20:00:56,58.56,29.99,7.68,18.83,22.12
2018-04-11 21:00:56,56.42,16.48,8.69,26.06,30.63
2018-04-11 22:00:56,74.6,9.03,8.18,28.09,47.54
2018-04-11 23:00:56,91.61,18.64,8.2,27.76,66.03
2018-04-12 00:00:56,95.63,30.57,9.4,27.53,83.48
2018-04-12 01:00:56,105.53,44.55,12.59,27.8,77.86
2018-04-12 02:00:56,93.02,40.51,13.12,26.54,66.98
2018-04-12 03:00:56,83.5,48.98,12.63,24.48,57.37
2018-04-12 04:00:56,70.9,44.32,11.45,22.73,43.47
2018-04-12 05:00:56,79.59,34.53,11.96,21.07,46.73
2018-04-12 06:00:56,76.85,48.2,11.89,19.16,48.25
2018-04-12 07:00:56,87.87,40.12,11.1,19.23,38.35
2018-04-12 08:00:56,84.03,38.8,11.61,18.96,61.44
2018-04-12 09:00:56,109.74,32.96,8.19,18.96,72.04
2018-04-12 10:00:56,125.07,48.14,6.58,23.86,47.78
2018-04-12 11:00:56,130.73,61.0,4.57,16.54,25.73
2018-04-12 12:00:56,97.75,58.82,2.21,7.92,9.44
2018-04-12 13:00:56,77.15,31.61,0.26,6.69,7.74
2018-04-12 14:00:56,48.19,18.23,0.0,7.01,8.38
2018-04-12 15:00:56,53.07,16.32,0.0,7.93,9.04
2018-04-12 16:00:56,57.99,21.4,1.99,7.02,8.86
2018-04-12 17:00:56,66.93,13.05,5.92,6.03,8.05
2018-04-12 18:00:56,71.13,24.9,8.28,4.34,6.53
2018-04-12 19:00:56,64.09,13.77,9.43,9.24,11.82
2018-04-12 20:00:56,63.28,28.88,7.98,18.14,21.26
2018-04-12 21:00:56,59.73,14.97,7.78,27.17,33.62
2018-04-12 22:00:56,62.76,7.49,8.17,27.59,34.43
2018-04-12 23:00:56,76.02,3.74,7.81,27.26,45.98
2018-04-13 00:00:56,86.57,16.73,6.65,22.69,33.02
2018-04-13 01:00:56,104.09,37.47,2.86,22.79,46.41
2018-04-13 02:00:56,97.97,27.19,1.85,23.47,44.63
2018-04-13 03:00:56,105.45,30.51,1.92,21.64,39.43
2018-04-13 04:00:56,104.57,19.69,1.62,20.73,39.92
2018-04-13 05:00:56,93.2,20.66,1.34,17.33,37.52
2018-04-13 06:00:56,84.17,31.02,1.22,14.89,33.02
2018-04-13 07:00:56,80.51,34.33,0.8,15.48,35.31
2018-04-13 08:00:56,72.13,36.67,2.0,15.17,41.46
2018-04-13 09:00:56,77.38,38.4,6.85,19.75,40.48
2018-04-13 10:00:56,81.96,28.72,8.25,21.39,36.58
2018-04-13 11:00:56,87.01,33.25,12.76,24.13,37.88
2018-04-13 12:00:56,91.27,34.82,20.03,20.48,26.79
2018-04-13 13:00:56,82.67,32.62,19.96,13.11,16.0
2018-04-13 14:00:56,72.97,26.99,23.58,7.71,9.84
2018-04-13 15:00:56,72.01,30.79,17.47,7.4,9.17
2018-04-13 16:00:56,64.8,22.43,15.69,6.85,7.82
2018-04-13 17:00:56,75.88,12.52,7.11,7.01,8.24
2018-04-13 18:00:56,76.61,27.65,8.25,8.14,9.65
2018-04-13 19:00:56,80.55,24.9,14.26,13.73,16.38
2018-04-13 20:00:56,77.15,38.42,16.47,27.46,35.84
2018-04-13 21:00:56,105.66,38.57,9.71,14.93,19.58
2018-04-13 22:00:56,99.78,33.57,7.13,9.34,11.31
2018-04-13 23:00:56,79.25,38.91,6.28,10.14,12.05
2018-04-14 00:00:56,75.64,20.85,7.05,10.2,13.39
2018-04-14 01:00:56,70.27,15.65,9.8,22.66,32.94
2018-04-14 02:00:56,63.76,9.61,10.05,22.9,38.37
2018-04-14 03:00:56,74.44,6.47,9.53,22.07,33.3
2018-04-14 04:00:56,86.82,24.12,8.95,13.32,14.98
2018-04-14 05:00:56,63.83,28.25,9.28,15.43,19.87
2018-04-14 06:00:56,71.15,21.3,9.52,19.01,30.19
2018-04-14 07:00:56,72.37,35.04,9.25,17.14,29.41
2018-04-14 08:00:56,77.76,27.12,10.04,16.77,36.64
2018-04-14 09:00:56,82.37,26.05,6.98,16.45,31.05
2018-04-14 10:00:56,97.89,34.79,3.25,18.64,31.14
2018-04-14 11:00:56,97.25,34.04,1.07,8.8,11.54
2018-04-14 12:00:56,66.37,19.99,0.11,6.95,8.48
2018-04-14 13:00:56,49.23,15.57,0.0,5.74,7.3
2018-04-14 14:00:56,47.28,26.28,0.0,5.77,7.55
2018-04-14 15:00:56,59.13,14.44,0.0,6.54,9.22
2018-04-14 16:00:56,46.72,16.62,0.05,7.02,9.54
2018-04-14 17:00:56,35.39,9.73,4.47,5.94,7.91
2018-04-14 18:00:56,41.8,9.74,7.49,7.64,8.61
2018-04-14 19:00:56,55.82,5.52,8.8,16.31,17.59
2018-04-14 20:00:56,49.66,34.94,6.23,25.05,28.54
2018-04-14 21:00:56,56.26,22.8,6.23,28.7,45.61
2018-04-14 22:00:56,76.87,12.45,5.85,12.58,16.12
2018-04-14 23:00:56,72.21,22.81,5.48,8.11,10.45
2018-04-15 00:00:56,73.11,43.71,4.7,8.19,10.19
2018-04-15 01:00:56,53.99,23.38,0.44,8.06,8.57
2018-04-15 02:00:56,64.55,21.42,0.14,3.86,6.37
2018-04-15 03:00:56,36.12,32.99,0.08,2.24,2.99
2018-04-15 04:00:56,39.83,20.91,0.0,1.45,2.71
2018-04-15 05:00:56,31.11,10.54,0.02,1.78,3.83
2018-04-15 06:00:56,31.97,5.26,0.0,3.25,4.59
2018-04-15 07:00:56,41.81,2.63,0.0,3.51,5.52
2018-04-15 08:00:56,42.68,12.76,0.19,13.38,17.27
2018-04-15 09:00:56,51.78,22.1,2.69,5.17,6.27
2018-04-15 10:00:56,47.74,17.85,3.92,3.76,5.99
