Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-04-03 19:00:56,23.3,12.17,3.52,5.16,6.54,85.52
2018-04-03 20:00:56,22.68,11.78,3.55,4.92,6.29,81.84
2018-04-03 21:00:56,20.64,10.41,3.43,4.83,6.19,75.48
2018-04-03 22:00:56,18.79,10.88,3.47,4.24,5.61,68.63
2018-04-03 23:00:56,16.91,10.71,3.47,4.03,5.46,65.34
2018-04-04 00:00:56,17.41,11.63,3.73,3.75,5.12,65.12
2018-04-04 01:00:56,16.72,9.46,3.61,3.74,5.1,64.19
2018-04-04 02:00:56,16.76,7.35,3.46,3.69,5.05,68.45
2018-04-04 03:00:56,15.31,6.77,3.81,3.82,5.15,71.16
2018-04-04 04:00:56,14.82,7.6,3.66,3.87,5.21,75.53
2018-04-04 05:00:56,15.11,8.34,3.47,3.82,5.15,80.48
2018-04-04 06:00:56,14.37,9.53,3.6,3.63,4.98,85.78
2018-04-04 07:00:56,13.64,9.37,3.63,3.38,4.71,81.86
2018-04-04 08:00:56,12.85,8.21,3.49,3.74,5.17,79.36
2018-04-04 09:00:56,11.31,7.4,3.65,4.3,5.79,83.8
2018-04-04 10:00:56,11.32,7.54,3.7,4.78,6.35,84.37
2018-04-04 11:00:56,14.01,7.8,3.92,6.14,8.08,87.74
2018-04-04 12:00:56,16.92,9.09,3.99,6.31,8.29,86.86
2018-04-04 13:00:56,18.32,10.15,3.47,5.24,6.96,93.12
2018-04-04 14:00:56,17.73,9.89,3.84,5.09,6.77,96.01
2018-04-04 15:00:56,17.94,9.09,3.89,5.16,6.89,97.18
2018-04-04 16:00:56,18.11,9.89,3.71,5.45,7.19,98.54
2018-04-04 17:00:56,17.82,9.74,3.73,6.11,7.98,98.68
2018-04-04 18:00:56,18.16,10.44,3.69,6.43,8.17,97.0
2018-04-04 19:00:56,17.44,11.05,4.07,6.94,8.4,95.96
2018-04-04 20:00:56,20.74,14.1,3.84,7.93,9.33,92.9
2018-04-04 21:00:56,24.23,15.63,3.93,7.4,8.78,85.25
2018-04-04 22:00:56,24.51,14.82,3.6,6.31,7.68,72.46
2018-04-04 23:00:56,21.58,12.49,3.58,5.47,6.9,67.75
2018-04-05 00:00:56,18.06,11.97,3.58,4.9,6.29,67.66
2018-04-05 01:00:56,15.99,11.74,3.55,4.38,5.76,71.84
2018-04-05 02:00:56,13.27,12.49,3.62,4.12,5.43,74.76
2018-04-05 03:00:56,0.0,11.56,3.68,3.94,5.28,75.91
2018-04-05 04:00:56,0.0,10.24,3.63,3.56,4.89,76.88
2018-04-05 05:00:56,0.0,8.24,3.65,3.3,4.67,79.57
2018-04-05 06:00:56,0.0,7.26,3.8,3.46,4.78,76.67
2018-04-05 07:00:56,0.0,6.05,3.6,3.4,4.77,75.71
2018-04-05 08:00:56,0.0,0.0,3.74,3.64,5.04,72.97
2018-04-05 09:00:56,0.0,0.0,3.97,4.28,5.79,73.52
2018-04-05 10:00:56,12.86,6.32,3.79,5.38,7.25,71.24
2018-04-05 11:00:56,15.48,7.83,4.41,9.22,11.92,73.27
2018-04-05 12:00:56,19.46,10.4,4.16,7.69,9.93,80.64
2018-04-05 13:00:56,20.31,11.41,3.85,6.38,8.3,84.61
2018-04-05 14:00:56,21.28,10.69,3.89,6.45,8.39,88.6
2018-04-05 15:00:56,21.47,10.56,4.07,7.22,9.21,91.07
2018-04-05 16:00:56,20.23,10.31,4.03,8.65,10.83,90.61
2018-04-05 17:00:56,21.56,12.95,4.03,10.06,12.37,83.85
2018-04-05 18:00:56,27.89,18.31,3.67,10.35,12.38,80.58
2018-04-05 19:00:56,28.57,19.88,4.08,12.97,15.59,83.33
2018-04-05 20:00:56,29.41,20.41,3.99,12.26,14.1,83.75
2018-04-05 21:00:56,30.08,21.89,3.61,8.44,9.91,85.34
2018-04-05 22:00:56,25.39,18.67,3.27,5.68,7.14,79.25
2018-04-05 23:00:56,21.7,14.49,3.43,4.8,6.22,76.91
2018-04-06 00:00:56,18.02,11.73,3.57,4.57,6.02,74.86
2018-04-06 01:00:56,15.29,11.82,3.05,4.11,5.51,74.05
2018-04-06 02:00:56,15.86,11.83,3.57,4.14,5.49,69.47
2018-04-06 03:00:56,14.67,11.66,3.74,4.16,5.56,66.98
2018-04-06 04:00:56,15.34,11.56,3.6,3.85,5.24,64.69
2018-04-06 05:00:56,14.08,10.73,3.47,3.74,5.14,62.31
2018-04-06 06:00:56,14.95,10.16,3.44,3.32,4.71,63.38
2018-04-06 07:00:56,16.0,9.06,3.29,3.22,4.6,65.35
2018-04-06 08:00:56,15.66,7.29,3.85,3.36,4.83,67.14
2018-04-06 09:00:56,15.89,0.0,3.72,4.07,5.81,67.73
2018-04-06 10:00:56,16.67,0.0,3.56,4.85,6.67,66.85
2018-04-06 11:00:56,17.03,0.0,3.86,7.89,10.46,72.46
2018-04-06 12:00:56,19.73,9.5,4.02,8.89,11.55,77.17
2018-04-06 13:00:56,21.97,11.05,3.7,7.88,10.24,81.59
2018-04-06 14:00:56,22.92,11.18,3.88,6.87,8.93,86.93
2018-04-06 15:00:56,23.91,10.62,3.43,7.69,9.92,92.14
2018-04-06 16:00:56,20.9,11.0,3.62,8.07,10.3,90.4
2018-04-06 17:00:56,20.12,12.7,3.76,10.66,13.15,82.86
2018-04-06 18:00:56,21.58,17.63,4.07,12.68,14.85,82.12
2018-04-06 19:00:56,25.87,21.48,3.86,12.59,14.22,83.59
2018-04-06 20:00:56,29.31,23.74,3.76,10.41,11.85,83.01
2018-04-06 21:00:56,29.11,22.78,3.58,8.08,9.67,68.85
2018-04-06 22:00:56,26.16,17.51,3.16,5.35,6.83,65.76
2018-04-06 23:00:56,21.45,13.7,3.45,4.35,5.82,67.0
2018-04-07 00:00:56,18.91,11.29,3.26,3.97,5.44,70.1
2018-04-07 01:00:56,16.36,11.25,3.29,3.78,5.24,72.35
2018-04-07 02:00:56,14.16,13.37,2.57,4.19,5.58,73.8
2018-04-07 03:00:56,13.52,12.34,3.14,4.28,5.65,72.76
2018-04-07 04:00:56,13.85,11.23,3.1,4.24,5.63,74.42
2018-04-07 05:00:56,14.68,10.29,3.39,4.12,5.51,75.38
2018-04-07 06:00:56,13.48,9.18,3.45,3.89,5.29,75.14
2018-04-07 07:00:56,14.18,8.2,3.55,3.96,5.42,73.14
2018-04-07 08:00:56,13.77,6.47,3.61,4.76,6.31,68.22
2018-04-07 09:00:56,15.73,0.0,3.72,9.99,12.83,69.87
2018-04-07 10:00:56,23.24,0.0,3.82,10.13,13.5,64.41
2018-04-07 11:00:56,25.22,0.0,4.04,9.25,12.06,70.87
2018-04-07 12:00:56,25.12,9.96,4.01,9.18,11.8,78.86
2018-04-07 13:00:56,27.67,13.73,4.48,7.99,10.16,86.82
2018-04-07 14:00:56,28.52,15.5,4.13,7.89,10.07,92.02
2018-04-07 15:00:56,29.33,16.45,4.26,8.48,10.7,94.8
2018-04-07 16:00:56,30.57,17.82,4.17,9.45,11.77,94.36
2018-04-07 17:00:56,33.73,19.85,4.31,11.94,14.36,93.13
2018-04-07 18:00:56,38.77,21.72,3.97,12.77,14.9,89.67
2018-04-07 19:00:56,39.69,23.6,3.58,14.25,15.97,84.22
2018-04-07 20:00:56,40.92,25.37,3.69,11.33,12.73,91.9
2018-04-07 21:00:56,39.53,23.71,3.74,9.31,10.72,94.13
2018-04-07 22:00:56,36.24,21.57,3.76,10.1,11.51,89.71
2018-04-07 23:00:56,34.66,20.19,3.17,9.22,10.65,77.41
2018-04-08 00:00:56,32.52,19.65,3.24,8.56,10.04,69.97
2018-04-08 01:00:56,30.3,19.11,3.27,7.09,8.54,63.06
2018-04-08 02:00:56,28.2,15.99,3.39,6.06,7.47,63.05
2018-04-08 03:00:56,24.91,15.33,3.3,5.92,7.32,64.97
2018-04-08 04:00:56,22.2,13.95,3.16,5.6,7.01,62.65
2018-04-08 05:00:56,19.92,13.91,3.19,5.71,7.07,61.43
2018-04-08 06:00:56,18.12,12.97,3.23,5.27,6.68,61.4
2018-04-08 07:00:56,18.36,11.59,2.82,5.12,6.58,59.0
2018-04-08 08:00:56,18.66,9.26,3.08,5.23,6.77,59.91
2018-04-08 09:00:56,17.95,0.0,3.3,7.16,9.22,67.51
2018-04-08 10:00:56,15.85,0.0,3.29,8.51,10.65,88.53
2018-04-08 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-08 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-08 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-08 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-08 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-08 16:00:56,0.0,0.0,6.47,0.0,0.0,92.95
2018-04-08 17:00:56,0.0,0.0,4.0,11.93,13.95,102.63
2018-04-08 18:00:56,0.0,0.0,5.04,15.47,17.69,99.41
2018-04-08 19:00:56,0.0,0.0,3.97,15.24,16.91,98.6
2018-04-08 20:00:56,0.0,0.0,4.14,16.02,17.23,96.88
2018-04-08 21:00:56,0.0,0.0,3.93,12.89,14.0,91.95
2018-04-08 22:00:56,0.0,0.0,3.42,11.99,13.25,86.74
2018-04-08 23:00:56,0.0,0.0,3.36,10.59,11.73,81.1
2018-04-09 00:00:56,0.0,0.0,3.35,9.8,10.98,77.88
2018-04-09 01:00:56,11.42,0.0,3.24,9.18,10.31,71.68
2018-04-09 02:00:56,14.94,0.0,2.78,8.06,9.23,64.46
2018-04-09 03:00:56,16.69,0.0,3.13,7.51,8.66,62.18
2018-04-09 04:00:56,16.8,0.0,3.1,3.94,8.06,61.64
2018-04-09 05:00:56,17.53,0.0,3.43,3.65,7.79,60.55
2018-04-09 06:00:56,16.99,0.0,3.44,4.02,8.12,60.88
2018-04-09 07:00:56,17.66,0.0,3.43,4.39,8.64,58.31
