Tarih,PM10 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2019-03-15 12:00:56,-,"401,77","3,12","7,34"
2019-03-15 13:00:56,-,"459,52","3,87","7,96"
2019-03-15 14:00:56,-,"436,41","4,04","7,25"
2019-03-15 15:00:56,-,"496,51","3,39","7,26"
2019-03-15 16:00:56,-,"576,83","4,13","7,23"
2019-03-15 17:00:56,-,"584,12","4,25","7,36"
2019-03-15 18:00:56,-,"562,11","3,80","7,66"
2019-03-15 19:00:56,-,"486,64","3,40","6,63"
2019-03-15 20:00:56,-,"525,29","3,39","7,94"
2019-03-15 21:00:56,-,"562,07","3,04","5,91"
2019-03-15 22:00:56,-,"634,47","4,42","7,87"
2019-03-15 23:00:56,-,"726,17","3,62","8,48"
2019-03-16 00:00:56,-,"645,20","3,69","8,19"
2019-03-16 01:00:56,-,"661,86","3,72","7,12"
2019-03-16 02:00:56,-,"553,52","3,16","7,53"
2019-03-16 03:00:56,-,"552,70","4,08","7,38"
2019-03-16 04:00:56,-,"592,31","3,71","9,65"
2019-03-16 05:00:56,-,"619,19","3,77","7,51"
2019-03-16 06:00:56,-,"757,84","3,56","8,10"
2019-03-16 07:00:56,-,"549,21","4,00","6,53"
2019-03-16 08:00:56,-,"905,74","3,84","7,46"
2019-03-16 09:00:56,-,"642,17","3,85","7,49"
2019-03-16 10:00:56,-,"305,37","3,78","6,76"
2019-03-16 11:00:56,-,"355,28","3,99","7,17"
2019-03-16 12:00:56,-,"404,64","4,38","7,40"
2019-03-16 13:00:56,-,"422,09","4,02","8,27"
2019-03-16 14:00:56,-,"428,25","4,07","6,83"
2019-03-16 15:00:56,-,"1.117,29","3,31","6,07"
2019-03-16 16:00:56,-,"1.134,39","3,51","6,92"
2019-03-16 17:00:56,-,"1.134,85","3,59","6,94"
2019-03-16 18:00:56,-,"1.057,56","4,23","7,69"
2019-03-16 19:00:56,-,"599,19","4,13","7,35"
2019-03-16 20:00:56,-,"592,86","3,74","7,53"
2019-03-16 21:00:56,-,"760,02","4,10","9,36"
2019-03-16 22:00:56,-,"825,84","3,47","7,40"
2019-03-16 23:00:56,-,"754,64","3,64","6,68"
2019-03-17 00:00:56,-,"602,21","3,82","7,32"
2019-03-17 01:00:56,-,"557,16","4,42","7,30"
2019-03-17 02:00:56,-,"542,68","3,74","8,02"
2019-03-17 03:00:56,-,"403,18","3,83","8,82"
2019-03-17 04:00:56,-,"380,30","4,18","8,11"
2019-03-17 05:00:56,-,"412,87","2,66","7,50"
2019-03-17 06:00:56,-,"434,70","3,10","8,03"
2019-03-17 07:00:56,-,"511,94","3,78","7,22"
2019-03-17 08:00:56,-,"489,84","3,14","7,40"
2019-03-17 09:00:56,-,"556,78","3,93","7,48"
2019-03-17 10:00:56,-,"462,88","4,11","7,34"
2019-03-17 11:00:56,-,"495,51","4,40","7,93"
2019-03-17 12:00:56,-,"505,77","4,02","6,78"
2019-03-17 13:00:56,-,"488,17","4,33","6,84"
2019-03-17 14:00:56,-,"473,33","3,71","7,80"
2019-03-17 15:00:56,-,"475,53","4,01","6,39"
2019-03-17 16:00:56,-,"484,65","3,35","6,08"
2019-03-17 17:00:56,-,"509,52","3,68","7,79"
2019-03-17 18:00:56,-,"475,71","3,82","7,05"
2019-03-17 19:00:56,-,"608,36","3,52","6,73"
2019-03-17 20:00:56,-,"705,93","3,73","8,99"
2019-03-17 21:00:56,-,"1.022,48","4,01","7,72"
2019-03-17 22:00:56,-,"1.074,64","3,35","7,02"
2019-03-17 23:00:56,-,"1.160,56","4,14","6,72"
2019-03-18 00:00:56,-,"1.149,10","3,33","5,91"
2019-03-18 01:00:56,-,"436,17","4,11","8,28"
2019-03-18 02:00:56,-,"375,23","4,47","8,49"
2019-03-18 03:00:56,-,"374,90","3,03","5,61"
2019-03-18 04:00:56,-,"246,47","3,56","7,26"
2019-03-18 05:00:56,-,"233,72","3,95","6,93"
2019-03-18 06:00:56,-,"246,52","4,64","7,14"
2019-03-18 07:00:56,-,"422,08","4,60","7,29"
2019-03-18 08:00:56,-,"565,44","3,65","7,87"
2019-03-18 09:00:56,-,"662,04","4,16","6,68"
2019-03-18 10:00:56,-,"502,14","4,10","7,84"
2019-03-18 11:00:56,-,"457,15","3,58","6,33"
2019-03-18 12:00:56,-,"390,97","3,46","7,37"
2019-03-18 13:00:56,-,"637,37","12,08","15,69"
2019-03-18 14:00:56,-,"728,81","8,21","12,05"
2019-03-18 15:00:56,-,"836,43","11,37","16,04"
2019-03-18 16:00:56,-,"813,70","10,98","15,66"
2019-03-18 17:00:56,-,"865,44","26,65","31,72"
2019-03-18 18:00:56,-,"974,73","51,37","57,64"
2019-03-18 19:00:56,-,"639,15","91,36","110,90"
2019-03-18 20:00:56,-,"565,86","89,62","98,34"
2019-03-18 21:00:56,-,"445,48","18,40","22,02"
2019-03-18 22:00:56,-,"715,57","40,84","41,02"
2019-03-18 23:00:56,-,"666,63","67,09","67,29"
2019-03-19 00:00:56,-,"609,79","39,87","41,00"
2019-03-19 01:00:56,-,"534,01","38,21","39,32"
2019-03-19 02:00:56,-,"634,19","37,74","39,12"
2019-03-19 03:00:56,-,"706,32","47,88","60,10"
2019-03-19 04:00:56,-,"562,89","82,31","123,46"
2019-03-19 05:00:56,-,"512,95","90,52","106,93"
2019-03-19 06:00:56,-,"472,80","60,30","61,92"
2019-03-19 07:00:56,-,"532,38","44,20","45,47"
2019-03-19 08:00:56,-,"652,52","42,33","45,46"
2019-03-19 09:00:56,-,"660,98","29,25","33,40"
2019-03-19 10:00:56,-,"685,05","40,99","52,74"
2019-03-19 11:00:56,-,"258,35","32,37","39,48"
2019-03-19 12:00:56,-,"451,46","44,93","56,75"
2019-03-19 13:00:56,-,"549,98","109,34","153,73"
2019-03-19 14:00:56,-,"567,00","108,40","145,65"
2019-03-19 15:00:56,-,"514,73","100,95","129,18"
2019-03-19 16:00:56,-,"326,28","83,65","103,94"
2019-03-19 17:00:56,-,"301,83","72,93","85,13"
2019-03-19 18:00:56,-,"191,49","74,08","85,62"
2019-03-19 19:00:56,-,"515,98","11,43","14,58"
2019-03-19 20:00:56,-,"581,31","9,29","11,69"
2019-03-19 21:00:56,-,"615,97","10,65","13,64"
2019-03-19 22:00:56,-,"631,41","13,76","16,25"
2019-03-19 23:00:56,-,"682,38","12,94","15,56"
2019-03-20 00:00:56,-,"755,06","15,36","17,63"
2019-03-20 01:00:56,-,"543,46","15,31","18,34"
2019-03-20 02:00:56,-,"464,30","12,27","16,03"
2019-03-20 03:00:56,-,"513,06","12,34","15,57"
2019-03-20 04:00:56,-,"532,45","27,33","30,47"
2019-03-20 05:00:56,-,"537,45","43,97","46,18"
2019-03-20 06:00:56,-,"518,92","19,87","22,36"
2019-03-20 07:00:56,-,"541,77","9,33","12,01"
2019-03-20 08:00:56,-,"614,79","23,19","28,99"
2019-03-20 09:00:56,-,"811,93","76,75","110,94"
2019-03-20 10:00:56,-,"748,86","84,08","173,14"
2019-03-20 11:00:56,-,"716,15","44,36","86,40"
2019-03-20 12:00:56,-,"475,48","4,73","8,04"
2019-03-20 13:00:56,-,"480,48","3,85","7,22"
2019-03-20 14:00:56,-,"441,77","3,75","8,91"
2019-03-20 15:00:56,-,"431,38","3,34","7,27"
2019-03-20 16:00:56,-,"421,22","3,09","6,90"
2019-03-20 17:00:56,-,"414,57","3,26","6,75"
2019-03-20 18:00:56,-,"500,04","1,19","5,50"
2019-03-20 19:00:56,-,"505,98","2,64","6,30"
2019-03-20 20:00:56,-,"544,24","2,57","6,46"
2019-03-20 21:00:56,-,"542,46","3,30","7,21"
2019-03-20 22:00:56,-,"552,93","2,47","5,48"
2019-03-20 23:00:56,-,"526,82","1,80","6,62"
2019-03-21 00:00:56,-,"508,66","1,91","5,53"
2019-03-21 01:00:56,-,"573,94","2,13","4,11"
2019-03-21 02:00:56,-,"465,25","2,89","7,02"
2019-03-21 03:00:56,-,"358,21","1,88","5,92"
2019-03-21 04:00:56,-,"318,84","1,19","5,04"
2019-03-21 05:00:56,-,"375,42","1,46","5,15"
2019-03-21 06:00:56,-,"371,44","1,88","5,35"
2019-03-21 07:00:56,-,"510,38","2,60","5,67"
2019-03-21 08:00:56,-,"476,22","3,55","8,83"
2019-03-21 09:00:56,-,"476,20","3,35","7,28"
2019-03-21 10:00:56,-,"470,08","2,59","7,16"
2019-03-21 11:00:56,-,"473,79","2,95","7,17"
2019-03-21 12:00:56,-,"446,01","3,42","6,59"
2019-03-21 13:00:56,-,"504,78","2,60","6,40"
2019-03-21 14:00:56,-,"489,48","3,54","7,60"
2019-03-21 15:00:56,-,"480,19","3,62","7,65"
2019-03-21 16:00:56,-,"481,82","2,55","6,29"
2019-03-21 17:00:56,-,"602,10","2,87","5,39"
2019-03-21 18:00:56,-,"655,66","2,74","5,91"
2019-03-21 19:00:56,-,"559,44","2,94","5,61"
2019-03-21 20:00:56,-,"389,01","3,59","7,08"
2019-03-21 21:00:56,-,"375,22","3,64","7,48"
2019-03-21 22:00:56,-,"390,77","2,88","6,71"
2019-03-21 23:00:56,-,"369,95","3,78","8,02"
2019-03-22 00:00:56,-,"343,22","2,90","6,51"
2019-03-22 01:00:56,-,"501,55","2,95","6,81"
2019-03-22 02:00:56,-,"526,32","2,29","5,91"
2019-03-22 03:00:56,-,"510,37","1,69","5,89"
2019-03-22 04:00:56,-,"623,36","1,41","5,44"
2019-03-22 05:00:56,-,"687,79","0,84","5,32"
2019-03-22 06:00:56,-,"673,93","1,39","4,60"
2019-03-22 07:00:56,-,"510,49","2,61","6,97"
2019-03-22 08:00:56,-,"432,83","2,36","7,50"
2019-03-22 09:00:56,-,"420,69","4,35","8,36"
2019-03-22 10:00:56,-,"319,91","2,20","6,99"
2019-03-22 11:00:56,-,"293,50","2,55","6,67"
2019-03-22 12:00:56,-,"277,93","3,26","7,06"
2019-03-22 13:00:56,-,"507,52","3,25","7,27"
2019-03-22 14:00:56,-,"595,15","3,41","6,99"
2019-03-22 15:00:56,-,"437,84","3,85","7,77"
2019-03-22 16:00:56,-,"317,42","2,60","5,48"
2019-03-22 17:00:56,-,"509,08","2,62","6,03"
2019-03-22 18:00:56,-,"656,66","2,56","5,99"
2019-03-22 19:00:56,-,"518,21","2,63","7,27"
2019-03-22 20:00:56,-,"541,12","7,79","11,76"
2019-03-22 21:00:56,-,"513,95","3,33","6,72"
2019-03-22 22:00:56,-,"589,02","4,43","7,23"
2019-03-22 23:00:56,-,"579,88","3,38","7,07"
2019-03-23 00:00:56,-,"577,33","3,62","7,36"
2019-03-23 01:00:56,-,"491,84","3,51","8,02"
2019-03-23 02:00:56,-,"560,59","5,28","9,26"
2019-03-23 03:00:56,-,"606,52","7,75","10,27"
2019-03-23 04:00:56,-,"546,71","4,55","8,10"
2019-03-23 05:00:56,-,"541,30","3,33","7,11"
2019-03-23 06:00:56,-,"528,34","5,24","9,11"
2019-03-23 07:00:56,-,"511,81","4,46","7,71"
2019-03-23 08:00:56,-,"540,26","11,49","26,00"
2019-03-23 09:00:56,-,"526,16","8,87","11,74"
2019-03-23 10:00:56,-,"594,10","45,27","82,10"
2019-03-23 11:00:56,-,"474,84","48,63","72,69"
2019-03-23 12:00:56,-,"519,83","27,97","38,55"
2019-03-23 13:00:56,-,"572,23","5,02","8,69"
2019-03-23 14:00:56,-,"633,47","6,06","9,63"
2019-03-23 15:00:56,-,"549,70","3,12","6,99"
2019-03-23 16:00:56,-,"526,38","1,51","5,80"
2019-03-23 17:00:56,-,"501,50","2,15","5,56"
2019-03-23 18:00:56,-,"592,08","2,62","6,36"
2019-03-23 19:00:56,-,"494,25","3,42","6,52"
2019-03-23 20:00:56,-,"443,85","2,75","6,23"
2019-03-23 21:00:56,-,"353,07","2,59","5,74"
2019-03-23 22:00:56,-,"365,95","3,13","6,97"
2019-03-23 23:00:56,-,"399,95","6,00","10,07"
2019-03-24 00:00:56,-,"292,00","2,85","6,25"
2019-03-24 01:00:56,-,"501,02","2,21","6,07"
2019-03-24 02:00:56,-,"592,86","4,11","8,47"
2019-03-24 03:00:56,-,"566,05","1,93","5,51"
2019-03-24 04:00:56,-,"517,64","2,70","6,46"
2019-03-24 05:00:56,-,"501,81","3,04","6,01"
2019-03-24 06:00:56,-,"480,27","2,16","5,44"
2019-03-24 07:00:56,-,"533,58","1,47","5,60"
2019-03-24 08:00:56,-,"549,18","2,68","7,01"
2019-03-24 09:00:56,-,"549,85","1,06","5,78"
2019-03-24 10:00:56,-,"501,37","0,96","5,58"
2019-03-24 11:00:56,-,"528,37","1,79","5,58"
2019-03-24 12:00:56,-,"515,32","1,78","5,42"
2019-03-24 13:00:56,-,"503,47","1,21","4,80"
2019-03-24 14:00:56,-,"469,69","1,18","5,35"
2019-03-24 15:00:56,-,"446,89","1,32","5,21"
2019-03-24 16:00:56,-,"432,49","1,23","5,24"
2019-03-24 17:00:56,-,"475,62","1,66","4,08"
2019-03-24 18:00:56,-,"472,07","2,24","5,59"
2019-03-24 19:00:56,-,"572,64","2,30","6,18"
2019-03-24 20:00:56,-,"575,27","1,58","5,47"
2019-03-24 21:00:56,-,"554,68","3,55","8,03"
2019-03-24 22:00:56,-,"621,24","2,78","7,24"
2019-03-24 23:00:56,-,"714,41","5,59","9,00"
2019-03-25 00:00:56,-,"697,21","4,62","8,42"
2019-03-25 01:00:56,-,"678,40","10,38","13,37"
2019-03-25 02:00:56,-,"619,16","11,30","14,37"
2019-03-25 03:00:56,-,"516,82","6,46","10,77"
2019-03-25 04:00:56,-,"446,92","3,38","7,71"
2019-03-25 05:00:56,-,"435,56","4,55","7,50"
2019-03-25 06:00:56,-,"425,19","4,15","7,08"
2019-03-25 07:00:56,-,"463,19","4,33","7,41"
2019-03-25 08:00:56,-,"544,06","7,69","11,73"
2019-03-25 09:00:56,-,"652,90","8,15","11,58"
2019-03-25 10:00:56,-,"355,27","16,66","22,35"
2019-03-25 11:00:56,-,"364,87","33,86","45,50"
2019-03-25 12:00:56,-,"225,10","44,79","64,10"
2019-03-25 13:00:56,-,"244,57","50,53","73,69"
2019-03-25 14:00:56,-,"798,90","58,56","91,18"
2019-03-25 15:00:56,-,"855,52","28,43","35,92"
2019-03-25 16:00:56,-,"850,65","31,99","40,49"
2019-03-25 17:00:56,-,"959,05","58,14","75,34"
2019-03-25 18:00:56,-,"956,00","52,97","61,12"
2019-03-25 19:00:56,-,"570,95","77,31","91,76"
2019-03-25 20:00:56,-,"457,19","53,86","64,40"
2019-03-25 21:00:56,-,"374,99","12,11","15,19"
2019-03-25 22:00:56,-,"423,87","21,48","24,26"
2019-03-25 23:00:56,-,"662,71","28,78","30,95"
2019-03-26 00:00:56,-,"501,17","29,98","32,42"
2019-03-26 01:00:56,-,"454,95","22,98","25,07"
2019-03-26 02:00:56,-,"564,34","13,61","17,10"
2019-03-26 03:00:56,-,"512,67","10,65","13,41"
2019-03-26 04:00:56,-,"484,69","11,45","14,54"
2019-03-26 05:00:56,-,"390,39","9,05","13,49"
